"","Year","Region","MPA_Group","Designation","Longitude","Latitude","Acorn.barnacle","Aggregated.nipple.sponge","Basket.star","Bat.star","Bat.star.red.sea.star.complex","Benthic.siphonophore","Blood.star","Boot.sponge","Brown.box.crab","Brown.gorgonian","California.golden.gorgonian","California.hydrocoral","California.market.squid","California.mussel","California.sea.cucumber","California.spiny.lobster","Chesnut.cowrie","Clown.nudibranch","Colonial.cup.coral","Cookie.star","Crested.star","Crowned.sea.urchin","Cushion.star","Dawson.s.sun.star","Decorator.crab","Deep.sea.cucumber","Diamondback.Tritonia","Dirty.marshmallow.sponge","Dungeness.crab","East.Pacfic.red.octopus","Elephant.ear.tunicate","Encrusting.hydrocoral","Feather.star","Fish.eating.star","Fish.eating.anemone","Fish.eating.star.1","Fluted.bryozoan","Fragile.pink.urchin","Freckled.pale.sea.lemon","Frilled.anemone","Giant.keyhole.limpet","Giant.Pacific.octopus","Giant.rock.scallop","Giant.spined.star","Glassy.tunicate","Gorgonian.zoanthid","Gray.puffball.sponge","Gumboot.chiton","Leather.star","Long.legged.sunflower.star","Lophelia.complex","Mantis.shrimp","Mushroom.soft.coral","Noble.sea.lemon","Northern.staghorn.bryozoan","Ochre.star","Orange.gorgonian","Orange.puffball.sponge","Orange.sea.cucumber","Orange.sea.pen","Orange.peel.nudibranch","Painted.anemone","Pelagic.red.crab","Phosphorescent.sea.pen","Pink.Tritonia","Pisaster.complex","Pleurobranchaea.californica","Puget.Sound.king.crab","Purple.gorgonian","Purple.sea.urchin","Purple.red.urchin.complex","Rainbow.star","Red.gorgonian","Red.rock.crab","Red.sea.star","Red.sea.urchin","San.Diego.scallop","Sand.star","Sand.star.spiny.sand.star.complex","Sand.rose.anemone","Sand.rose.anemone.....","Sea.star","Sea.whip","Sheep.crab","Short.red.gorgonian","Short.spined.sea.star","Slipper.sea.cucumber","Solaster.sun.star.complex","Southern.staghorn.bryozoan","Spanish.shawl.nudibranch","Spiny.lithode.crab","Spiny.red.star","Spiny.sand.star","Spiny.thorny.star.complex","Spot.prawn","Stalked.tunicate","Stimpson.s.sun.star","Stubby.rose.anemone","Sunflower.star","Sunflower.star.complex","Swimming.anemone","Swimming.nudibranch","Thorny.sea.star","Trumpet.sponge","UI.anemone","UI.anemone.1","UI.anemone.2","UI.anemone.3","UI.anemone.4","UI.anemone.5","UI.anemone.6","UI.boot.sponge","UI.brachiopoda","UI.branched.bryozoan","UI.branched.sea.cucumber","UI.branched.sponge","UI.brittle.stars.","UI.Cancer.sp.","UI.carpet.worm","UI.crab","UI.feather.star","UI.gorgonian","UI.gray.gorgonian","UI.Henricia","UI.laced.sponge","UI.laced.lobed.bryozoan","UI.lobed.sponge","UI.lobed.sponge.tunicate","UI.nipple.sponge","UI.nudibranch","UI.octopus","UI.prawn","UI.red.Swiftia.gorgonian","UI.salp","UI.sand.dwelling.anemone","UI.scallop","UI.sea.pen","UI.sea.star","UI.squat.lobster","UI.tube.dwelling.anemone","UI.tubeworm","UI.tunicate","UI.vase.sponge","UI.whelk","UI.White.Branching.Sponge","UI.white.lobed.sponge","UI.White.slipped.sea.cucumber","UI.yellow.boot.sponge","UI.yellow.gorgonian","Warty.sea.cucumber","White.branched.sea.cucumber","White.sea.pen","White.sea.pen.....","White.sea.urchin","White.spine.sea.cucumber","White.plumed.anemone","White.spotted.rose.anemone"
"1",2011,"North Central","Bodega Bay","MPA",-123.0909161,38.3073216458824,0,0,0,8,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,75,0,0,12,0,10,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0
"2",2011,"North Central","Bodega Bay","Reference",-123.027327357143,38.2263266807143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,84,0,0,2,0,7,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0
"3",2015,"North Central","Bodega Bay","MPA",-123.0902515,38.2926256,0,0,0,6,0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,34,12,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,45,0,0,0,1,40,0,0,0,0,1,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,460,0,0,0,4,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.1,0
"4",2015,"North Central","Bodega Bay","Reference",-123.028465245455,38.2437167263636,0,0,0,8,0,0,0,0,0,0,0,2,2,0,175,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,1,0,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,116,0
"5",2019,"North Central","Bodega Bay","MPA",-123.085533165116,38.3036502472093,9,0,0,83,0,0,0,0,0,0,0,388,0,0,1344,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,12,348,0,0,0,0,0,0,0,17,1,0,0,1,0,45,0,0,0,0,2,14,0,0,15,29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,35,274,0,2,0,124,0,0,0,0,0,0,2686.57,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,98,30,0,0,1,0,1,0,0,0,295,0,0,22,0,0,3,0,1,0,0,0,0,0,4,0,15,0,32,0,2,0,0,0,0,0,0,2987.72,1,0,0,0,662.08,0
"6",2019,"North Central","Bodega Bay","Reference",-123.034090884091,38.2388624061364,4,0,0,795.85,1,0,0,0,1,0,0,137.02,0,0,2237.37,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,0,19,366.02,0,0,0,0,0,0,1,5,28,0,0,0,0,49,0,0,0,0,0,808.99,7,0,30,6,0,0,0,0,0,0,0,2,0,0,3,0,2,0,1,53,1713.2,0,0,0,44,0,0,5,0,0,3,2117.18,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,616.14,0,0,0,0,0,1,0,0,0,288,0,0,18,0,0,0,0,0,0,0,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,85,257.99,0,0,0,702.09,20
"7",2011,"North Central","Farallon Islands","MPA",-122.996196107692,37.6724054715385,0,0,0,108,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,22,0,45,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0
"8",2011,"North Central","Farallon Islands","Reference",-123.05082563125,37.72603344125,0,0,0,131,0,0,0,0,0,0,0,13,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,0,148,0,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0
"9",2015,"North Central","Farallon Islands","MPA",-123.004910244444,37.6835326492593,25,0,1,248,14,0,0,0,25,0,0,14,0,0,138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,1,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,865,0,0,0,0,14,1448.1,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.1,0,1,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,248.7
"10",2015,"North Central","Farallon Islands","Reference",-123.041926426471,37.7235320094118,0,0,0,103,3,0,0,0,0,0,0,587.7,0,0,641,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,164,0,0,0,0,0,0,0,0,3,0,0,14,0,30,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,423.2,0,1,0,1,143,167,0,0,0,5,0,0,0,0,207,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,5,0,202,0,1,0,0,0,2,0,0,0,37.2,0,0,0,248,20,2,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,162,60
"11",2019,"North Central","Farallon Islands","MPA",-122.9981478625,37.6819838745,0,0,0,349,0,0,0,0,0,0,0,318.99,0,0,1268,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,189,0,0,0,0,0,0,0,8,2,0,0,1,0,24,0,0,0,0,5,3,0,0,15,3,1,0,0,0,0,0,0,0,0,0,110,0,19,0,0,43,955.94,0,0,0,7,0,0,0,0,0,0,87,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,788.86,5,38,0,0,0,0,0,0,0,63,0,0,126,0,34,1,0,1,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,44,364.13
"12",2019,"North Central","Farallon Islands","Reference",-123.066912026316,37.7252629339474,5,0,0,7,0,0,0,0,0,0,0,57.99,0,0,3176.99,0,0,0,0,1324.97,0,0,3,0,0,0,0,0,0,0,0,0,0,11,50,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,8,0,0,26,1,0,1,0,0,0,0,0,0,0,0,1,0,21,0,0,585,0,0,10,0,13,0,0,0,0,1184.2,0,237.02,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,34,0,64.02,2,26,0,0,0,0,0,0,0,71,0,0,3547.55,0,0,1,0,1,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77.02,0
